chaikesh@turing:~/a02$ python local_train_increase.py 
WARNING:tensorflow:From local_train_increase.py:89: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-10-30 16:25:27.645054: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-30 16:26:12.813886: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 1/100, train_cost = 3.158, test_accuracy = 0.500, time = 48.393,test-time=3.377
2018-10-30 16:26:56.495825: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 2/100, train_cost = 2.372, test_accuracy = 0.574, time = 42.313,test-time=2.008
2018-10-30 16:27:41.112086: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 3/100, train_cost = 2.026, test_accuracy = 0.591, time = 44.519,test-time=1.911
2018-10-30 16:28:26.112920: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 4/100, train_cost = 1.811, test_accuracy = 0.596, time = 45.068,test-time=1.979
2018-10-30 16:29:09.658457: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 5/100, train_cost = 1.658, test_accuracy = 0.607, time = 43.814,test-time=2.247
Epoch 6/100, train_cost = 1.542, test_accuracy = 0.617, time = 44.347,test-time=1.943
Epoch 7/100, train_cost = 1.449, test_accuracy = 0.632, time = 44.708,test-time=1.957
Epoch 8/100, train_cost = 1.374, test_accuracy = 0.644, time = 44.360,test-time=1.891
Epoch 9/100, train_cost = 1.313, test_accuracy = 0.694, time = 43.861,test-time=2.144
Epoch 10/100, train_cost = 1.262, test_accuracy = 0.705, time = 44.283,test-time=1.938
Epoch 11/100, train_cost = 1.220, test_accuracy = 0.713, time = 40.422,test-time=1.890
Epoch 12/100, train_cost = 1.185, test_accuracy = 0.716, time = 27.595,test-time=1.993
Epoch 13/100, train_cost = 1.156, test_accuracy = 0.719, time = 27.961,test-time=1.852
Epoch 14/100, train_cost = 1.131, test_accuracy = 0.720, time = 27.546,test-time=1.944
Epoch 15/100, train_cost = 1.111, test_accuracy = 0.720, time = 27.885,test-time=1.974
Epoch 16/100, train_cost = 1.093, test_accuracy = 0.720, time = 27.558,test-time=1.991
Epoch 17/100, train_cost = 1.078, test_accuracy = 0.720, time = 30.512,test-time=1.979
Epoch 18/100, train_cost = 1.066, test_accuracy = 0.718, time = 28.429,test-time=1.997
Epoch 19/100, train_cost = 1.055, test_accuracy = 0.718, time = 27.903,test-time=1.908
Epoch 20/100, train_cost = 1.045, test_accuracy = 0.717, time = 28.000,test-time=2.114
Epoch 21/100, train_cost = 1.037, test_accuracy = 0.717, time = 28.491,test-time=1.989
Epoch 22/100, train_cost = 1.031, test_accuracy = 0.717, time = 28.220,test-time=1.981
Epoch 23/100, train_cost = 1.025, test_accuracy = 0.714, time = 28.359,test-time=1.990
Epoch 24/100, train_cost = 1.020, test_accuracy = 0.713, time = 27.888,test-time=1.884
Epoch 25/100, train_cost = 1.017, test_accuracy = 0.712, time = 27.403,test-time=1.840
Epoch 26/100, train_cost = 1.014, test_accuracy = 0.711, time = 26.570,test-time=1.816
Epoch 27/100, train_cost = 1.012, test_accuracy = 0.710, time = 27.568,test-time=1.905
Epoch 28/100, train_cost = 1.011, test_accuracy = 0.710, time = 27.854,test-time=1.892
Epoch 29/100, train_cost = 1.012, test_accuracy = 0.710, time = 27.986,test-time=1.878
Epoch 30/100, train_cost = 1.013, test_accuracy = 0.709, time = 28.009,test-time=2.011
Epoch 31/100, train_cost = 1.017, test_accuracy = 0.709, time = 27.993,test-time=1.974
Epoch 32/100, train_cost = 1.020, test_accuracy = 0.709, time = 28.164,test-time=1.888
Epoch 33/100, train_cost = 1.025, test_accuracy = 0.709, time = 28.228,test-time=1.861
Epoch 34/100, train_cost = 1.028, test_accuracy = 0.710, time = 28.162,test-time=1.885
Epoch 35/100, train_cost = 1.032, test_accuracy = 0.709, time = 27.570,test-time=2.007
Epoch 36/100, train_cost = 1.039, test_accuracy = 0.709, time = 28.004,test-time=2.053
Epoch 37/100, train_cost = 1.042, test_accuracy = 0.710, time = 27.614,test-time=1.997
Epoch 38/100, train_cost = 1.053, test_accuracy = 0.712, time = 28.089,test-time=1.935
Epoch 39/100, train_cost = 1.068, test_accuracy = 0.711, time = 28.108,test-time=1.943
Epoch 40/100, train_cost = 1.082, test_accuracy = 0.711, time = 27.721,test-time=1.892
Epoch 41/100, train_cost = 1.096, test_accuracy = 0.709, time = 28.243,test-time=1.929
Epoch 42/100, train_cost = 1.109, test_accuracy = 0.711, time = 27.699,test-time=1.866
Epoch 43/100, train_cost = 1.119, test_accuracy = 0.715, time = 27.949,test-time=1.915
Epoch 44/100, train_cost = 1.128, test_accuracy = 0.711, time = 28.218,test-time=1.998
Epoch 45/100, train_cost = 1.151, test_accuracy = 0.712, time = 28.130,test-time=1.959
Epoch 46/100, train_cost = 1.167, test_accuracy = 0.715, time = 28.327,test-time=2.000
Epoch 47/100, train_cost = 1.186, test_accuracy = 0.706, time = 28.101,test-time=1.939
Epoch 48/100, train_cost = 1.210, test_accuracy = 0.693, time = 27.921,test-time=2.008
Epoch 49/100, train_cost = 1.229, test_accuracy = 0.709, time = 27.747,test-time=1.999
Epoch 50/100, train_cost = 1.273, test_accuracy = 0.707, time = 27.740,test-time=1.945
Epoch 51/100, train_cost = 1.286, test_accuracy = 0.714, time = 28.063,test-time=1.887
Epoch 52/100, train_cost = 1.317, test_accuracy = 0.711, time = 28.708,test-time=1.931
Epoch 53/100, train_cost = 1.344, test_accuracy = 0.707, time = 28.040,test-time=1.975
Epoch 54/100, train_cost = 1.376, test_accuracy = 0.711, time = 27.799,test-time=1.831
Epoch 55/100, train_cost = 1.406, test_accuracy = 0.686, time = 28.013,test-time=2.121
Epoch 56/100, train_cost = 1.430, test_accuracy = 0.705, time = 28.246,test-time=1.950
Epoch 57/100, train_cost = 1.441, test_accuracy = 0.704, time = 27.438,test-time=1.966
Epoch 58/100, train_cost = 1.463, test_accuracy = 0.712, time = 28.036,test-time=1.946
Epoch 59/100, train_cost = 1.522, test_accuracy = 0.698, time = 28.019,test-time=1.977
Epoch 60/100, train_cost = 1.638, test_accuracy = 0.724, time = 28.795,test-time=1.979
